epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7863824497763839
15.0,16.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.8190563386183406
15.0,16.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.8181363021190023
15.0,16.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.7505600991244599
15.0,16.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.7880336409036636
15.0,16.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.8154746947664506
15.0,16.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.7981098204390205
15.0,16.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.8182684852209815
15.0,16.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.8174119749072202
15.0,16.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.7890123426608397
15.0,16.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.8073211024960784
15.0,16.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.8105281862362795
15.0,16.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.8072044339995856
15.0,16.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.8219151971739483
15.0,16.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.8208769699952921
15.0,16.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.7719755568009264
15.0,16.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.7963853479794768
15.0,16.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.8154424500137895
15.0,16.0,0.001,no,6.0,bce,"(20, 10, 5)",0.8768665534973792
15.0,16.0,0.001,no,6.0,bce,"(40, 20, 10)",0.8791675756320112
15.0,16.0,0.001,no,6.0,bce,"(60, 30, 15)",0.8798512300498107
15.0,16.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.8736329134208086
15.0,16.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.8826748109348131
15.0,16.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8783904742358435
15.0,16.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8851802420850005
15.0,16.0,0.001,no,9.0,bce,"(40, 20, 10)",0.8794909066211236
15.0,16.0,0.001,no,9.0,bce,"(60, 30, 15)",0.8868267284537089
15.0,16.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.8720892311716879
15.0,16.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.8768724302770609
15.0,16.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.8657906232897035
15.0,16.0,0.001,no,12.0,bce,"(20, 10, 5)",0.8829005424082653
15.0,16.0,0.001,no,12.0,bce,"(40, 20, 10)",0.877862457567971
15.0,16.0,0.001,no,12.0,bce,"(60, 30, 15)",0.8867896703502075
15.0,16.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.8817933019760736
15.0,16.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.875135969581454
15.0,16.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.8852737124528103
15.0,16.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.6869485870861061
15.0,16.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.6859953311019841
15.0,16.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.7054089920513751
15.0,16.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.6518848364440409
15.0,16.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.6486175626736054
15.0,16.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.6577968506555688
15.0,16.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.6654973215739547
15.0,16.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.7080256701687905
15.0,16.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.7271849920857378
15.0,16.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.6479603632821332
15.0,16.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.6484840382802277
15.0,16.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.6808321261134389
15.0,16.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.6712329721227688
15.0,16.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.7089061664603089
15.0,16.0,0.0001,yes,12.0,bce,"(60, 30, 15)",0.7196343280172846
15.0,16.0,0.0001,yes,12.0,wbce,"(20, 10, 5)",0.6412975761990555
15.0,16.0,0.0001,yes,12.0,wbce,"(40, 20, 10)",0.6692676661462557
15.0,16.0,0.0001,yes,12.0,wbce,"(60, 30, 15)",0.6876385702393074
15.0,16.0,0.0001,no,6.0,bce,"(20, 10, 5)",0.8448316597285114
15.0,16.0,0.0001,no,6.0,bce,"(40, 20, 10)",0.8520848949192796
15.0,16.0,0.0001,no,6.0,bce,"(60, 30, 15)",0.8594390025702277
15.0,16.0,0.0001,no,6.0,wbce,"(20, 10, 5)",0.8444167468119025
15.0,16.0,0.0001,no,6.0,wbce,"(40, 20, 10)",0.8466116109630638
15.0,16.0,0.0001,no,6.0,wbce,"(60, 30, 15)",0.8579586153436192
15.0,16.0,0.0001,no,9.0,bce,"(20, 10, 5)",0.8479804633880237
15.0,16.0,0.0001,no,9.0,bce,"(40, 20, 10)",0.8519610484928174
15.0,16.0,0.0001,no,9.0,bce,"(60, 30, 15)",0.8551974049349133
15.0,16.0,0.0001,no,9.0,wbce,"(20, 10, 5)",0.8421328911778838
