epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7722236585456198
15.0,16.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.8091926515880186
15.0,16.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.8145831159804523
15.0,16.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.7360905085544135
15.0,16.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.7808003658296991
15.0,16.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.7914176961030076
15.0,16.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.795159757975477
15.0,16.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.8070248881095899
15.0,16.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.8158954608214765
15.0,16.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.7633790911564153
15.0,16.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.7958860868011772
15.0,16.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.793317040310503
15.0,16.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.7841049828718467
15.0,16.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.8261557686089217
15.0,16.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.8050293509403529
15.0,16.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.7598284168007963
15.0,16.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.7853155369187251
15.0,16.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.7745264097374226
15.0,16.0,0.001,no,6.0,bce,"(20, 10, 5)",0.8450734380629777
15.0,16.0,0.001,no,6.0,bce,"(40, 20, 10)",0.8477453355881591
15.0,16.0,0.001,no,6.0,bce,"(60, 30, 15)",0.856750057839689
15.0,16.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.8313281728753935
15.0,16.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.8459541014104267
15.0,16.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8358238586300989
15.0,16.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8235986829971079
15.0,16.0,0.001,no,9.0,bce,"(40, 20, 10)",0.8414018104712438
15.0,16.0,0.001,no,9.0,bce,"(60, 30, 15)",0.8308804999253588
15.0,16.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.82886864775353
15.0,16.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.8308400805034616
15.0,16.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.8346083793501435
15.0,16.0,0.001,no,12.0,bce,"(20, 10, 5)",0.8273421361862111
15.0,16.0,0.001,no,12.0,bce,"(40, 20, 10)",0.8402253151325073
15.0,16.0,0.001,no,12.0,bce,"(60, 30, 15)",0.840361125785465
15.0,16.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.8242793443532271
15.0,16.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.832698340065298
15.0,16.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.8330229118647597
15.0,16.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.6506607488124502
15.0,16.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.6522395375957902
15.0,16.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.6952049463484024
15.0,16.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.6300674716038083
15.0,16.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.6482654249889651
15.0,16.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.6495419316553147
15.0,16.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.6358426478218919
15.0,16.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.6625606419243181
15.0,16.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.7181659480605019
15.0,16.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.6362524443078763
15.0,16.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.6387411231040213
15.0,16.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.6588010600154983
15.0,16.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.6470330578811921
15.0,16.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.6811940659937125
15.0,16.0,0.0001,yes,12.0,bce,"(60, 30, 15)",0.6767543058403978
15.0,16.0,0.0001,yes,12.0,wbce,"(20, 10, 5)",0.6334683454247925
15.0,16.0,0.0001,yes,12.0,wbce,"(40, 20, 10)",0.6685811988494837
15.0,16.0,0.0001,yes,12.0,wbce,"(60, 30, 15)",0.6766093607456828
15.0,16.0,0.0001,no,6.0,bce,"(20, 10, 5)",0.8297841201336912
15.0,16.0,0.0001,no,6.0,bce,"(40, 20, 10)",0.8323754402727223
15.0,16.0,0.0001,no,6.0,bce,"(60, 30, 15)",0.8357231368602162
