epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7160387950580872
15.0,16.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.7144788277230424
15.0,16.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.7299305547923088
15.0,16.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.703111626173614
15.0,16.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.7146517412933583
15.0,16.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.7228458154752623
15.0,16.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.7163011257820728
15.0,16.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.737570339125584
15.0,16.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.7394453900717924
15.0,16.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.6954147848463883
15.0,16.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.7204760464503567
15.0,16.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.7212486276501034
15.0,16.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.703053140142894
15.0,16.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.7226220629547323
15.0,16.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.7103744088723009
15.0,16.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.7071765463310385
15.0,16.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.7215614019305564
15.0,16.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.7127601148014676
15.0,16.0,0.001,no,6.0,bce,"(20, 10, 5)",0.7558305513476992
15.0,16.0,0.001,no,6.0,bce,"(40, 20, 10)",0.7564449596744863
15.0,16.0,0.001,no,6.0,bce,"(60, 30, 15)",0.7672228945840186
15.0,16.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.7509187164192715
15.0,16.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.7661874445789488
15.0,16.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.7571355239133518
15.0,16.0,0.001,no,9.0,bce,"(20, 10, 5)",0.7756448306301601
15.0,16.0,0.001,no,9.0,bce,"(40, 20, 10)",0.768445975966749
