epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7807615847292481
15.0,16.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.8273952199909033
15.0,16.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.816541219601261
15.0,16.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.7874201089571099
15.0,16.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.80491790634053
15.0,16.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.79446558418359
15.0,16.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.8024633186571609
15.0,16.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.8131053894212582
15.0,16.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.8281741192788802
15.0,16.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.7918973619414748
15.0,16.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.8125810424718188
15.0,16.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.8168480526853527
15.0,16.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.8117336707241325
15.0,16.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.8260458391099362
15.0,16.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.8352476726847465
15.0,16.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.7959396282459656
15.0,16.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.8181648074779426
15.0,16.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.8071386637304306
15.0,16.0,0.001,no,6.0,bce,"(20, 10, 5)",0.8598723932821173
15.0,16.0,0.001,no,6.0,bce,"(40, 20, 10)",0.8657245657808886
15.0,16.0,0.001,no,6.0,bce,"(60, 30, 15)",0.8606214797638106
15.0,16.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.8526375997876302
15.0,16.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.8593280384341743
15.0,16.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8560152603047843
15.0,16.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8523981067618447
15.0,16.0,0.001,no,9.0,bce,"(40, 20, 10)",0.8549795638014307
15.0,16.0,0.001,no,9.0,bce,"(60, 30, 15)",0.8606635181861345
15.0,16.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.8441291657421318
15.0,16.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.8376733689352083
15.0,16.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.8390691374221341
15.0,16.0,0.001,no,12.0,bce,"(20, 10, 5)",0.8390784191065433
15.0,16.0,0.001,no,12.0,bce,"(40, 20, 10)",0.8611338854822966
15.0,16.0,0.001,no,12.0,bce,"(60, 30, 15)",0.8533065490609472
15.0,16.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.8374706322877019
15.0,16.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.8400341070075231
15.0,16.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.831473379012796
15.0,16.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.5793598661801691
15.0,16.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.6436127354420278
15.0,16.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.7037732608666553
15.0,16.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.5579997356949605
15.0,16.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.5888678896856064
15.0,16.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.6219933433243594
15.0,16.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.6189323335853237
15.0,16.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.6777140814663801
15.0,16.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.7100222307822494
15.0,16.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.5968250701882761
15.0,16.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.6295038140350557
15.0,16.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.6263172590657694
15.0,16.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.6516977999062417
15.0,16.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.6866884175203523
15.0,16.0,0.0001,yes,12.0,bce,"(60, 30, 15)",0.6926483556008375
15.0,16.0,0.0001,yes,12.0,wbce,"(20, 10, 5)",0.5885607412825307
15.0,16.0,0.0001,yes,12.0,wbce,"(40, 20, 10)",0.6319401431861237
15.0,16.0,0.0001,yes,12.0,wbce,"(60, 30, 15)",0.6486045017129186
15.0,16.0,0.0001,no,6.0,bce,"(20, 10, 5)",0.8214592081074837
15.0,16.0,0.0001,no,6.0,bce,"(40, 20, 10)",0.8404617651211844
15.0,16.0,0.0001,no,6.0,bce,"(60, 30, 15)",0.8619680203660393
15.0,16.0,0.0001,no,6.0,wbce,"(20, 10, 5)",0.8413205391237689
15.0,16.0,0.0001,no,6.0,wbce,"(40, 20, 10)",0.8618286558332011
15.0,16.0,0.0001,no,6.0,wbce,"(60, 30, 15)",0.8612145619809836
15.0,16.0,0.0001,no,9.0,bce,"(20, 10, 5)",0.824439584381394
15.0,16.0,0.0001,no,9.0,bce,"(40, 20, 10)",0.8604240715267147
15.0,16.0,0.0001,no,9.0,bce,"(60, 30, 15)",0.8414242084300488
15.0,16.0,0.0001,no,9.0,wbce,"(20, 10, 5)",0.8475583082319353
15.0,16.0,0.0001,no,9.0,wbce,"(40, 20, 10)",0.8616367321384244
15.0,16.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.8548681858750588
15.0,16.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.8456429963557043
15.0,16.0,0.0001,no,12.0,bce,"(40, 20, 10)",0.8470266371147193
15.0,16.0,0.0001,no,12.0,bce,"(60, 30, 15)",0.8392796754499966
15.0,16.0,0.0001,no,12.0,wbce,"(20, 10, 5)",0.8361825149865837
15.0,16.0,0.0001,no,12.0,wbce,"(40, 20, 10)",0.8405448452426433
