epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.8635507453453629
15.0,16.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.8822205602426204
15.0,16.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.8830497028394327
15.0,16.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.8580690599710122
15.0,16.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.8777740062526068
15.0,16.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.8759406446041019
15.0,16.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.8773875315914273
15.0,16.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.8890570347018402
15.0,16.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.8847244326337185
15.0,16.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.872621836169249
15.0,16.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.8825745206218821
15.0,16.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.88433734131227
15.0,16.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.8833659282006776
15.0,16.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.8883648862352462
15.0,16.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.8855242408365355
15.0,16.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.8712253822225713
15.0,16.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.8821730609255996
15.0,16.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.8833827655486409
15.0,16.0,0.001,no,6.0,bce,"(20, 10, 5)",0.8532545651491518
15.0,16.0,0.001,no,6.0,bce,"(40, 20, 10)",0.8501066113516434
15.0,16.0,0.001,no,6.0,bce,"(60, 30, 15)",0.842981872125122
15.0,16.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.8427946031618133
15.0,16.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.8462891828077375
15.0,16.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8306827951389352
15.0,16.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8445513882781107
15.0,16.0,0.001,no,9.0,bce,"(40, 20, 10)",0.8417550455164053
15.0,16.0,0.001,no,9.0,bce,"(60, 30, 15)",0.8523287822483977
15.0,16.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.8474248955860227
15.0,16.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.8475281237180039
15.0,16.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.8542359578418242
15.0,16.0,0.001,no,12.0,bce,"(20, 10, 5)",0.8600713602397146
15.0,16.0,0.001,no,12.0,bce,"(40, 20, 10)",0.8478317392194276
15.0,16.0,0.001,no,12.0,bce,"(60, 30, 15)",0.8472825335687381
15.0,16.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.8441565270710994
15.0,16.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.8433880533927534
15.0,16.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.8382085022175004
15.0,16.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.7614187339748035
15.0,16.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.8030171690344918
15.0,16.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.8208190048442624
15.0,16.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.7150674896422121
15.0,16.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.7752628038046613
15.0,16.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.8044359488961023
15.0,16.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.7735721323860937
15.0,16.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.8103430442567946
15.0,16.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.8342874023951947
15.0,16.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.7379950216624459
15.0,16.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.7930345364905494
15.0,16.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.8225446741731748
15.0,16.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.7647416798209475
15.0,16.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.8141257930314941
15.0,16.0,0.0001,yes,12.0,bce,"(60, 30, 15)",0.8322835992932743
15.0,16.0,0.0001,yes,12.0,wbce,"(20, 10, 5)",0.7429136823344095
15.0,16.0,0.0001,yes,12.0,wbce,"(40, 20, 10)",0.7628708475737738
15.0,16.0,0.0001,yes,12.0,wbce,"(60, 30, 15)",0.7939554026497317
15.0,16.0,0.0001,no,6.0,bce,"(20, 10, 5)",0.883218243628272
15.0,16.0,0.0001,no,6.0,bce,"(40, 20, 10)",0.8790352136279876
15.0,16.0,0.0001,no,6.0,bce,"(60, 30, 15)",0.867052817500442
15.0,16.0,0.0001,no,6.0,wbce,"(20, 10, 5)",0.869739173635808
15.0,16.0,0.0001,no,6.0,wbce,"(40, 20, 10)",0.8773540989760308
15.0,16.0,0.0001,no,6.0,wbce,"(60, 30, 15)",0.857907960484226
15.0,16.0,0.0001,no,9.0,bce,"(20, 10, 5)",0.8759796688964298
15.0,16.0,0.0001,no,9.0,bce,"(40, 20, 10)",0.8645895618366053
15.0,16.0,0.0001,no,9.0,bce,"(60, 30, 15)",0.8600878573586078
15.0,16.0,0.0001,no,9.0,wbce,"(20, 10, 5)",0.8734119270559494
15.0,16.0,0.0001,no,9.0,wbce,"(40, 20, 10)",0.8570880637462465
15.0,16.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.8523470019827868
15.0,16.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.8510559150379463
15.0,16.0,0.0001,no,12.0,bce,"(40, 20, 10)",0.8753859599134367
15.0,16.0,0.0001,no,12.0,bce,"(60, 30, 15)",0.8666610944712847
15.0,16.0,0.0001,no,12.0,wbce,"(20, 10, 5)",0.8391795631562332
15.0,16.0,0.0001,no,12.0,wbce,"(40, 20, 10)",0.8560207623796963
15.0,16.0,0.0001,no,12.0,wbce,"(60, 30, 15)",0.8618978782939054
15.0,16.0,1e-05,yes,6.0,bce,"(20, 10, 5)",0.516674549626693
15.0,16.0,1e-05,yes,6.0,bce,"(40, 20, 10)",0.6217725829446129
15.0,16.0,1e-05,yes,6.0,bce,"(60, 30, 15)",0.6639465609967791
15.0,16.0,1e-05,yes,6.0,wbce,"(20, 10, 5)",0.5427336926436351
15.0,16.0,1e-05,yes,6.0,wbce,"(40, 20, 10)",0.5571048644855805
15.0,16.0,1e-05,yes,6.0,wbce,"(60, 30, 15)",0.5919208143513317
15.0,16.0,1e-05,yes,9.0,bce,"(20, 10, 5)",0.5358281704048925
15.0,16.0,1e-05,yes,9.0,bce,"(40, 20, 10)",0.6265641841323444
15.0,16.0,1e-05,yes,9.0,bce,"(60, 30, 15)",0.6813177873753063
15.0,16.0,1e-05,yes,9.0,wbce,"(20, 10, 5)",0.5386541913450515
15.0,16.0,1e-05,yes,9.0,wbce,"(40, 20, 10)",0.5967077850960022
15.0,16.0,1e-05,yes,9.0,wbce,"(60, 30, 15)",0.6187480358804407
15.0,16.0,1e-05,yes,12.0,bce,"(20, 10, 5)",0.5484892827455368
15.0,16.0,1e-05,yes,12.0,bce,"(40, 20, 10)",0.5977705629044351
15.0,16.0,1e-05,yes,12.0,bce,"(60, 30, 15)",0.6209309402470965
15.0,16.0,1e-05,yes,12.0,wbce,"(20, 10, 5)",0.5278871619992659
15.0,16.0,1e-05,yes,12.0,wbce,"(40, 20, 10)",0.6211823516182161
15.0,16.0,1e-05,yes,12.0,wbce,"(60, 30, 15)",0.5872587195671896
15.0,16.0,1e-05,no,6.0,bce,"(20, 10, 5)",0.8218515277912785
15.0,16.0,1e-05,no,6.0,bce,"(40, 20, 10)",0.8451554816269318
15.0,16.0,1e-05,no,6.0,bce,"(60, 30, 15)",0.8616213139422019
15.0,16.0,1e-05,no,6.0,wbce,"(20, 10, 5)",0.8003699309259531
15.0,16.0,1e-05,no,6.0,wbce,"(40, 20, 10)",0.8283531731678205
15.0,16.0,1e-05,no,6.0,wbce,"(60, 30, 15)",0.8463662655178504
15.0,16.0,1e-05,no,9.0,bce,"(20, 10, 5)",0.8260208954298683
15.0,16.0,1e-05,no,9.0,bce,"(40, 20, 10)",0.8607189744678466
15.0,16.0,1e-05,no,9.0,bce,"(60, 30, 15)",0.869306734053357
15.0,16.0,1e-05,no,9.0,wbce,"(20, 10, 5)",0.8251920948481679
15.0,16.0,1e-05,no,9.0,wbce,"(40, 20, 10)",0.8449073117612299
15.0,16.0,1e-05,no,9.0,wbce,"(60, 30, 15)",0.8555137121691208
15.0,16.0,1e-05,no,12.0,bce,"(20, 10, 5)",0.8449614732658682
